name,school,subscribe_num,endTime,startTime,teachers,courseURL
国乐之美,北京理工大学,1315,2020-12-26 23:30:00,2020-09-28 10:00:00,曲香竹,https://www.icourse163.org/course/BIT-1449377161
声乐教学与舞台实践,江西财经大学,4497,2020-12-31 23:30:00,2020-10-27 10:00:00,韩玉澎,https://www.icourse163.org/course/JXUFE-1206640805
民族舞蹈技术技巧,中央民族大学,2164,2021-01-26 23:30:00,2020-10-26 10:00:00,马云霞,https://www.icourse163.org/course/MUC-1449391163
“声琴并茂”——你真的会弹钢琴伴奏吗？,中国音乐学院,1017,2020-12-30 23:30:00,2020-10-26 10:00:00,郑园梦,https://www.icourse163.org/course/CCM-1450007185
音乐聆听,华东师范大学,1019,2021-01-31 23:00:00,2020-10-19 10:00:00,姜蕾,https://www.icourse163.org/course/ECNU-1460927175
器乐-扬琴,首都师范大学,354,2021-01-04 23:30:00,2020-09-14 10:00:00,史 玥,https://www.icourse163.org/course/CNU-1206460815
中国汉唐气韵健身舞,北京体育大学,1403,2021-01-20 23:30:00,2020-10-20 10:00:00,许言,https://www.icourse163.org/course/BSU-1003759001
陪伴你成长的钢琴弹奏,长沙师范学院,2104,2020-12-31 23:30:00,2020-10-12 14:00:00,秦青,https://www.icourse163.org/course/CSSF-1450009172
声乐,浙江师范大学,4723,2020-11-30 23:00:00,2020-10-13 10:00:00,郭克俭,https://www.icourse163.org/course/ZJNU-1450309374
舞台实践基础,湖南师范大学,906,2020-12-12 23:30:00,2020-10-10 10:00:00,陈刚,https://www.icourse163.org/course/HUNNU-1461165165
中国民族女高音作品演唱与赏析,江西财经大学,357,2020-12-30 23:30:00,2020-10-08 10:00:00,周菡,https://www.icourse163.org/course/JXUFE-1460756165
中华传统文化中的音乐故事,衡阳师范学院,842,2020-12-13 23:30:00,2020-09-07 10:00:00,陈瑾,https://www.icourse163.org/course/HYNU-1003527011
聆听中国,宁波大学,490,2021-01-22 23:00:00,2020-09-25 10:00:00,王蕾,https://www.icourse163.org/course/NBU-1003130002
独白的世界——肖邦十二首练习曲（第十号作品）解读,山东大学,359,2020-11-11 23:30:00,2020-09-24 10:00:00,孙天,https://www.icourse163.org/course/SDU-1449650166
萨克斯管基础教学,四川音乐学院,1333,2020-11-25 10:00:00,2020-09-30 10:00:00,梅松,https://www.icourse163.org/course/SCCM-1206299837
一舞一世界——世界经典舞蹈赏析,北京师范大学,1748,2020-12-31 23:30:00,2020-10-01 10:00:00,肖向荣,https://www.icourse163.org/course/BNU-1003250002
蒙古族长调艺术,内蒙古艺术学院,147,2020-12-20 23:30:00,2020-10-01 10:00:00,乌兰其其格,https://www.icourse163.org/course/IMAC-1205700809
中国古典舞与乐舞文化,集美大学,1445,2021-01-09 23:30:00,2020-09-30 10:00:00,范晓敏,https://www.icourse163.org/course/JMU-1002607013
音乐鉴赏,西安交通大学,1988,2020-12-07 23:30:00,2020-09-29 10:00:00,方小笛,https://www.icourse163.org/course/XJTU-1002530012
轻松玩转吉他,四川音乐学院,7189,2020-12-31 23:30:00,2020-09-29 10:00:00,徐宝,https://www.icourse163.org/course/SCCM-1206297837
工尺谱概论,中央音乐学院,424,2020-12-20 23:30:00,2020-09-22 10:00:00,吴晓萍,https://www.icourse163.org/course/CCOM-1002599007
中国民族音乐,武汉理工大学,584,2020-12-31 23:30:00,2020-09-21 10:00:00,朱梅梵,https://www.icourse163.org/course/WHUT-1460840162
宋词古乐谱赏析,温州大学,1839,2021-01-25 23:00:00,2020-09-25 10:00:00,伍三土,https://www.icourse163.org/course/WZU-1207514803
交响乐队乐器法与编配基础,四川音乐学院,885,2020-12-29 23:30:00,2020-09-22 10:00:00,刘力,https://www.icourse163.org/course/SCCM-1206305829
中国十大传统名曲赏析,电子科技大学,3738,2020-12-31 23:30:00,2020-09-24 10:00:00,唐珞,https://www.icourse163.org/course/UESTC-1001959013
周老师教你教音乐：小学音乐教学设计与实践,华中师范大学,745,2021-01-22 23:30:00,2020-09-18 10:00:00,周泉,https://www.icourse163.org/course/CCNU-1206674861
